smiles,Chi0,Chi1,mChi1,Chi2,Chi3,Chi4,Chi5,Chi6,Chi7,Chi8,Chi9,Chi10,Chi3c,Chi4c,Chi4pc,Chi3ch,Chi4ch,Chi5ch,Chi6ch,knotp,Chiv0,Chiv1,Chiv2,Chiv3,Chiv4,Chiv5,Chiv6,Chiv7,Chiv8,Chiv9,Chiv10,dchi0,dchi1,dchi2,dchi3,dchi4,Chiv3c,Chiv4c,Chiv4pc,Chiv3ch,Chiv4ch,Chiv5ch,Chiv6ch,knotpv
Nc1nc2N(C3OC(COP(=O)(O)OP(=O)(O)OP(=O)(O)O)C(O)C(Oc4ccccc4)3)cnc2c(=O)[nH]1,27.88,17.64,0.43,18.826,12.695,12.095,8.188,6.676,4.711,3.691,2.765,1.909,5.743,0.854,6.863,0.0,0.0,0.175,0.158,1.12,21.335,14.721,12.033,8.673,6.493,3.864,2.625,1.467,1.005,0.683,0.443,6.545,2.92,6.793,4.021,5.602,1.887,0.126,3.212,0.0,0.0,0.074,0.046,1.325
O=c1ccN(C3OC(COP(=O)(O)OP(=O)(O)OP(=O)(O)O)C(O)C(Oc4ccccc4)3)c(=O)N1,26.018,16.157,0.437,17.263,11.08,10.332,6.737,5.32,3.526,2.654,1.992,1.319,5.471,0.854,6.026,0.0,0.0,0.079,0.17,0.555,19.849,13.829,11.275,8.074,5.992,3.539,2.373,1.286,0.872,0.597,0.384,6.17,2.328,5.988,3.006,4.34,1.771,0.126,2.957,0.0,0.0,0.045,0.051,1.186
Nc1ccN(C3OC(COP(=O)(O)OP(=O)(O)OP(=O)(O)O)C(O)C(Oc4ccccc4)3)c(=O)n1,26.018,16.157,0.437,17.263,11.08,10.332,6.737,5.32,3.526,2.654,1.992,1.319,5.471,0.854,6.026,0.0,0.0,0.079,0.17,0.555,19.965,13.861,11.3,8.074,5.983,3.533,2.374,1.282,0.87,0.595,0.382,6.053,2.296,5.963,3.005,4.348,1.781,0.126,2.962,0.0,0.0,0.045,0.049,1.18
Nc1ncnc2N(C3OC(COP(=O)(O)OP(=O)(O)OP(=O)(O)O)C(O)C(Oc4ccccc4)3)cnc12,27.01,17.247,0.431,18.181,12.443,11.693,7.927,6.337,4.599,3.588,2.632,1.863,5.454,0.854,6.578,0.0,0.0,0.175,0.17,1.123,20.951,14.533,11.841,8.61,6.42,3.803,2.578,1.448,0.989,0.67,0.437,6.059,2.714,6.34,3.833,5.273,1.836,0.126,3.183,0.0,0.0,0.074,0.047,1.346
Nc1ncnc2N(C3OC(COP(=O)(O)OP(=O)(O)OP(=O)(O)O)C(O)C(OCCN)3)cnc12,25.311,15.729,0.437,16.583,11.004,10.413,6.754,5.678,3.939,2.983,2.07,1.396,5.25,0.854,6.189,0.0,0.0,0.175,0.068,0.939,19.556,13.615,11.069,8.023,6.021,3.527,2.458,1.349,0.908,0.604,0.388,5.755,2.114,5.514,2.981,4.392,1.768,0.126,3.081,0.0,0.0,0.074,0.014,1.313
Nc1ccN(C3OC(COP(=O)(O)OP(=O)(O)OP(=O)(O)O)C(O)C(OCCN)3)c(=O)n1,24.32,14.64,0.444,15.666,9.64,9.051,5.564,4.666,2.847,2.065,1.421,0.883,5.267,0.854,5.637,0.0,0.0,0.079,0.068,0.371,18.57,12.943,10.529,7.487,5.584,3.256,2.254,1.18,0.789,0.528,0.335,5.75,1.697,5.137,2.153,3.467,1.713,0.126,2.86,0.0,0.0,0.045,0.017,1.147
Nc1nc2N(C3OC(COP(=O)(O)OP(=O)(O)OP(=O)(O)O)C(O)C(OCCC=NC(N)(N))3)cnc2c(=O)[nH]1,29.173,17.979,0.439,19.119,12.183,11.485,7.439,6.3,4.336,3.38,2.512,1.674,5.947,0.854,6.762,0.0,0.0,0.175,0.056,0.815,22.119,14.986,12.084,8.493,6.343,3.734,2.593,1.441,0.991,0.669,0.433,7.054,2.993,7.035,3.69,5.142,1.905,0.126,3.161,0.0,0.0,0.074,0.014,1.255
Nc1ccN(C3OC(COP(=O)(O)OP(=O)(O)OP(=O)(O)O)C(O)C(OCCC=NC(N)(N))3)c(=O)n1,27.311,16.495,0.446,17.555,10.568,9.721,5.988,4.948,3.133,2.349,1.754,1.109,5.675,0.854,5.926,0.0,0.0,0.079,0.068,0.251,20.749,14.126,11.351,7.894,5.833,3.403,2.342,1.254,0.855,0.581,0.372,6.562,2.369,6.204,2.675,3.888,1.799,0.126,2.91,0.0,0.0,0.045,0.017,1.11
O=c1ccN(C3OC(COP(=O)(O)OP(=O)(O)OP(=O)(O)O)C(O)C(OCCC=NC(N)(N))3)c(=O)N1,27.311,16.495,0.446,17.555,10.568,9.721,5.988,4.948,3.133,2.349,1.754,1.109,5.675,0.854,5.926,0.0,0.0,0.079,0.068,0.251,20.633,14.094,11.326,7.893,5.841,3.409,2.342,1.258,0.857,0.582,0.374,6.678,2.401,6.229,2.675,3.88,1.789,0.126,2.905,0.0,0.0,0.045,0.019,1.116
Nc1ncnc2N(C3OC(COP(=O)(O)OP(=O)(O)OP(=O)(O)O)C(O)C(OCCC=NC(N)(N))3)cnc12,28.303,17.585,0.44,18.473,11.932,11.083,7.178,5.961,4.225,3.272,2.386,1.631,5.658,0.854,6.477,0.0,0.0,0.175,0.068,0.819,21.735,14.798,11.892,8.429,6.27,3.674,2.546,1.422,0.974,0.656,0.426,6.568,2.787,6.581,3.502,4.812,1.854,0.126,3.131,0.0,0.0,0.074,0.014,1.276
Nc1nc2N(C3OC(COP(=O)(O)OP(=O)(O)OP(=O)(O)O)C(N)C(O)3)cnc2c(=O)[nH]1,24.06,14.585,0.429,16.282,10.644,10.09,6.287,5.291,3.51,2.575,1.772,1.131,5.595,0.854,6.635,0.0,0.0,0.175,0.056,1.04,18.117,12.703,10.715,7.775,5.771,3.307,2.302,1.21,0.805,0.526,0.331,5.943,1.881,5.567,2.869,4.319,1.852,0.126,3.152,0.0,0.0,0.074,0.014,1.3
CC1=CN(C(=O)NC1=O)C1OC2(COP(=O)(O)OP(=O)(O)OP(=O)(O)O)CN(Cc3ccc4ccc5cccc6ccc3c4c56)C1C2O,34.388,22.458,0.416,24.128,18.418,17.412,13.972,11.496,9.173,7.362,6.017,4.483,7.033,0.956,10.779,0.0,0.0,0.136,0.29,3.746,27.457,18.838,16.257,12.485,9.853,6.909,4.915,3.32,2.368,1.75,1.18,6.932,3.62,7.87,5.933,7.559,2.83,0.185,5.399,0.0,0.0,0.092,0.103,2.569
Nc1ncnc2N(C3OC(COP(=O)(O)OP(=O)(O)OP(=O)(O)O)C(O)C(OCCCN)3)cnc12,26.018,16.229,0.439,16.937,11.254,10.603,6.83,5.746,4.109,3.086,2.167,1.472,5.25,0.854,6.189,0.0,0.0,0.175,0.068,0.939,20.263,14.115,11.423,8.253,6.12,3.592,2.53,1.413,0.954,0.636,0.414,5.755,2.114,5.514,3.0,4.483,1.768,0.126,3.081,0.0,0.0,0.074,0.014,1.313
O=c1ccN(C3OC(COP(=O)(O)OP(=O)(O)OP(=O)(O)O)C(O)C(OCC#N)3)c(=O)N1,24.32,14.64,0.444,15.666,9.64,9.051,5.564,4.666,2.847,2.065,1.421,0.883,5.267,0.854,5.637,0.0,0.0,0.079,0.068,0.371,18.116,12.58,10.314,7.399,5.522,3.189,2.193,1.141,0.761,0.508,0.321,6.203,2.059,5.352,2.242,3.53,1.702,0.126,2.855,0.0,0.0,0.045,0.019,1.153
