smiles,Chi0,Chi1,mChi1,Chi2,Chi3,Chi4,Chi5,Chi6,Chi7,Chi8,Chi9,Chi10,Chi3c,Chi4c,Chi4pc,Chi3ch,Chi4ch,Chi5ch,Chi6ch,knotp,Chiv0,Chiv1,Chiv2,Chiv3,Chiv4,Chiv5,Chiv6,Chiv7,Chiv8,Chiv9,Chiv10,dchi0,dchi1,dchi2,dchi3,dchi4,Chiv3c,Chiv4c,Chiv4pc,Chiv3ch,Chiv4ch,Chiv5ch,Chiv6ch,knotpv
CC1=CN(C(=O)NC1=O)C3OC(CO)C(O(P(=O)(S)O))C(O)3,16.654,10.136,0.441,10.423,7.543,6.064,5.181,3.403,2.141,1.426,0.83,0.432,3.035,0.354,4.528,0.0,0.0,0.079,0.056,1.493,13.107,8.872,7.486,3.969,3.064,2.241,1.205,0.703,0.43,0.204,0.089,3.547,1.264,2.937,3.574,2.999,1.695,0.134,1.765,0.0,0.0,0.045,0.016,0.07
O=c1ccN(C3OC(COP(=O)(O)OP(=O)(O)OP(=O)(O)O)C(O)C(OCCOC)3)c(=O)N1,25.027,15.14,0.445,16.019,9.89,9.242,5.639,4.734,3.017,2.163,1.539,0.938,5.267,0.854,5.637,0.0,0.0,0.079,0.068,0.371,19.284,13.2,10.708,7.656,5.656,3.287,2.288,1.22,0.817,0.549,0.348,5.742,1.94,5.311,2.234,3.586,1.702,0.126,2.855,0.0,0.0,0.045,0.019,1.153
Nc1ncnc2N(C3OC(COP(=O)(O)OP(=O)(O)OP(=O)(O)O)C(O)C(OCCOC)3)cnc12,26.018,16.229,0.439,16.937,11.254,10.603,6.83,5.746,4.109,3.086,2.167,1.472,5.25,0.854,6.189,0.0,0.0,0.175,0.068,0.939,20.387,13.904,11.274,8.192,6.084,3.552,2.492,1.385,0.935,0.622,0.401,5.631,2.325,5.663,3.061,4.519,1.768,0.126,3.081,0.0,0.0,0.074,0.014,1.313
Nc1nc2N(C3OC(COP(=O)(O)OP(=O)(O)OP(=O)(O)O)C(O)C(OCCOC)3)cnc2c(=O)[nH]1,26.889,16.623,0.437,17.582,11.505,11.005,7.09,6.085,4.22,3.195,2.293,1.514,5.539,0.854,6.474,0.0,0.0,0.175,0.056,0.935,20.771,14.091,11.466,8.256,6.158,3.612,2.539,1.404,0.952,0.634,0.407,6.118,2.531,6.117,3.25,4.848,1.819,0.126,3.111,0.0,0.0,0.074,0.014,1.291
Nc1ccN(C3OC(COP(=O)(O)OP(=O)(O)OP(=O)(O)O)C(O)C(OCCOC)3)c(=O)n1,25.027,15.14,0.445,16.019,9.89,9.242,5.639,4.734,3.017,2.163,1.539,0.938,5.267,0.854,5.637,0.0,0.0,0.079,0.068,0.371,19.401,13.232,10.733,7.657,5.648,3.281,2.288,1.217,0.816,0.547,0.346,5.626,1.908,5.286,2.234,3.594,1.713,0.126,2.86,0.0,0.0,0.045,0.017,1.147
Nc1nc2N(C3OC(CO)C(O(P(=O)(S)O))C(O)3)cnc2c(=O)[nH]1,17.646,11.209,0.431,11.478,8.566,7.668,6.232,4.668,3.182,2.327,1.535,0.974,3.125,0.354,4.676,0.0,0.0,0.175,0.056,1.552,13.671,9.347,7.783,4.274,3.419,2.425,1.378,0.822,0.517,0.263,0.145,3.975,1.861,3.696,4.292,4.25,1.675,0.134,1.788,0.0,0.0,0.074,0.014,0.113
Nc1ncnc2N(C3OC(CO)C(O(P(=O)(S)O))C(O)3)cnc12,16.776,10.815,0.433,10.833,8.315,7.266,5.972,4.332,3.053,2.245,1.413,0.903,2.836,0.354,4.391,0.0,0.0,0.175,0.068,1.555,13.287,9.159,7.59,4.211,3.345,2.364,1.332,0.803,0.503,0.251,0.135,3.489,1.655,3.242,4.104,3.921,1.624,0.134,1.758,0.0,0.0,0.074,0.014,0.134
O=c1ccN(C3OC(CO)C(O(P(=O)(S)O))C(O)3)c(=O)N1,15.784,9.725,0.442,9.915,6.951,5.904,4.795,3.26,2.01,1.346,0.77,0.415,2.852,0.354,3.84,0.0,0.0,0.079,0.068,0.987,12.185,8.455,7.025,3.675,2.917,2.1,1.124,0.648,0.391,0.161,0.075,3.6,1.27,2.89,3.277,2.988,1.558,0.134,1.532,0.0,0.0,0.045,0.019,0.026
Nc1ccN(C3OC(CO)C(O(P(=O)(S)O))C(O)3)c(=O)n1,15.784,9.725,0.442,9.915,6.951,5.904,4.795,3.26,2.01,1.346,0.77,0.415,2.852,0.354,3.84,0.0,0.0,0.079,0.068,0.987,12.301,8.487,7.05,3.675,2.909,2.094,1.125,0.644,0.386,0.16,0.076,3.483,1.238,2.865,3.276,2.996,1.569,0.134,1.537,0.0,0.0,0.045,0.017,0.032
CC(C)CCCC(C)C1CCC2C3CC=C4CC(O(C(=O)NCCOCCOCCOCCOCC(CO)OP(=O)(O)OP(=O)(O)OP(=O)(O)O))CCC4(C)C3CCC12C,44.194,28.178,0.447,27.71,19.155,17.064,11.642,9.309,7.107,5.373,3.972,2.824,7.335,1.089,10.064,0.0,0.0,0.083,0.155,2.729,38.705,26.079,22.272,17.263,13.814,9.386,7.276,5.084,3.789,2.578,1.735,5.488,2.099,5.437,1.892,3.25,4.035,0.346,8.424,0.0,0.0,0.083,0.133,4.389
Nc1ncnc2N(C1C=CC(CO)C(OP(=O)(O)OP(=O)(O)OP(=O)(O)O)C1)cnc12,23.027,14.301,0.433,15.425,9.952,9.855,6.12,5.534,3.942,3.067,2.31,1.596,5.119,0.854,5.549,0.0,0.0,0.096,0.0,0.43,18.032,12.85,10.708,8.003,6.153,3.653,2.698,1.535,1.101,0.722,0.44,4.994,1.452,4.717,1.949,3.702,1.787,0.126,3.158,0.0,0.0,0.029,0.0,1.371
Nc1nc2N(C1C=CC(CO)C(OP(=O)(O)OP(=O)(O)OP(=O)(O)O)C1)cnc2c(=O)[nH]1,23.897,14.712,0.433,15.953,10.424,10.194,6.269,5.419,3.841,2.603,1.972,1.461,5.324,0.854,6.049,0.0,0.0,0.175,0.0,0.725,18.416,13.038,10.854,8.062,6.149,3.529,2.527,1.374,0.915,0.6,0.366,5.481,1.674,5.099,2.362,4.045,1.815,0.126,3.193,0.0,0.0,0.058,0.0,1.379
CC1=CN(C(=O)NC1=O)C3OC(COP(=O)(O)OP(=O)(O)OP(=O)(O)O)C(O)C3,22.198,13.085,0.436,14.817,8.938,8.142,4.881,3.83,2.284,1.558,1.07,0.651,5.387,0.854,5.808,0.0,0.0,0.096,0.056,0.421,17.106,12.045,10.218,7.281,5.337,3.068,2.085,1.074,0.707,0.467,0.3,5.092,1.04,4.6,1.657,2.805,1.793,0.126,2.91,0.0,0.0,0.056,0.016,1.116
O=c1ccN(CC(=O)N(CC)Cc1c[nH]nn1)c(=O)N1,14.535,9.613,0.458,8.307,6.946,5.128,3.991,3.067,2.096,1.527,1.118,0.766,1.207,0.0,3.014,0.0,0.0,0.0,0.0,1.807,10.867,6.027,4.131,2.877,1.747,1.094,0.681,0.376,0.219,0.119,0.064,3.668,3.586,4.176,4.069,3.381,0.474,0.0,0.98,0.0,0.0,0.0,0.0,0.506
Nc1ncnc2N(CC(=O)NC(CO)COP(=O)(O)OP(=O)(O)OP(=O)(O)O)cnc12,23.449,14.212,0.444,15.205,9.168,8.67,5.111,3.762,2.537,1.599,1.016,0.629,5.142,0.854,5.078,0.0,0.0,0.096,0.068,0.064,17.838,12.332,10.057,6.986,5.133,2.776,1.79,0.858,0.481,0.306,0.151,5.611,1.88,5.148,2.181,3.538,1.68,0.126,2.615,0.0,0.0,0.029,0.014,0.935
Nc1ccN(CC(=O)NC(CO)COP(=O)(O)OP(=O)(O)OP(=O)(O)O)c(=O)n1,22.458,13.123,0.453,14.288,7.823,7.226,4.008,2.645,1.632,0.834,0.601,0.37,5.159,0.854,4.553,0.0,0.0,0.0,0.068,0.606,16.852,11.66,9.517,6.453,4.681,2.519,1.597,0.736,0.4,0.269,0.127,5.606,1.463,4.771,1.37,2.545,1.625,0.126,2.393,0.0,0.0,0.0,0.017,0.768
O=c1ccN(CC(=O)NC(CO)COP(=O)(O)OP(=O)(O)OP(=O)(O)O)c(=O)N1,22.458,13.123,0.453,14.288,7.823,7.226,4.008,2.645,1.632,0.834,0.601,0.37,5.159,0.854,4.553,0.0,0.0,0.0,0.068,0.606,16.736,11.628,9.492,6.454,4.687,2.521,1.594,0.736,0.402,0.269,0.128,5.722,1.495,4.796,1.369,2.539,1.614,0.126,2.389,0.0,0.0,0.0,0.019,0.775
Nc1nc2N(CC(=O)NC(CO)COP(=O)(O)OP(=O)(O)OP(=O)(O)O)cnc2c(=O)[nH]1,24.32,14.606,0.443,15.851,9.419,9.069,5.397,4.059,2.678,1.656,1.096,0.68,5.431,0.854,5.363,0.0,0.0,0.096,0.056,0.068,18.222,12.519,10.25,7.05,5.205,2.84,1.833,0.878,0.492,0.315,0.154,6.098,2.087,5.602,2.369,3.864,1.731,0.126,2.644,0.0,0.0,0.029,0.014,0.913
Nc1ncnc2N(C3OC(COP(=O)(O)OP(=O)(O)OP(=O)(O)O)C(O)C(F)3)cnc12,23.19,14.191,0.43,15.636,10.392,9.688,6.026,4.955,3.383,2.484,1.654,1.084,5.306,0.854,6.35,0.0,0.0,0.175,0.068,1.044,17.534,12.401,10.39,7.576,5.622,3.18,2.195,1.157,0.76,0.497,0.312,5.656,1.79,5.246,2.817,4.066,1.763,0.126,3.01,0.0,0.0,0.074,0.014,1.248
Nc1nc2N(C3OC(COP(=O)(O)OP(=O)(O)OP(=O)(O)O)C(O)C(F)3)cnc2c(=O)[nH]1,24.06,14.585,0.429,16.282,10.644,10.09,6.287,5.291,3.51,2.575,1.772,1.131,5.595,0.854,6.635,0.0,0.0,0.175,0.056,1.04,17.918,12.588,10.582,7.639,5.695,3.24,2.241,1.176,0.776,0.508,0.318,6.142,1.996,5.7,3.005,4.395,1.814,0.126,3.04,0.0,0.0,0.074,0.014,1.226
Nc1nc2N(C3COC(CO)C(OP(=O)(O)OP(=O)(O)OP(=O)(O)O)C(O)3)cnc2c(=O)[nH]1,24.767,15.123,0.432,16.502,10.768,10.686,6.925,5.518,3.856,2.678,1.903,1.308,5.539,0.854,6.407,0.0,0.0,0.096,0.111,0.868,18.694,13.095,10.921,8.074,6.253,3.759,2.592,1.427,0.955,0.627,0.362,6.073,2.028,5.581,2.694,4.433,1.864,0.126,3.285,0.0,0.0,0.029,0.046,1.421
O=c1ccN(C3COC(CO)C(OP(=O)(O)OP(=O)(O)OP(=O)(O)O)C(O)3)c(=O)N1,22.905,13.64,0.44,14.939,9.153,8.922,5.495,4.079,2.689,1.757,1.164,0.792,5.267,0.854,5.57,0.0,0.0,0.0,0.124,0.304,17.208,12.203,10.163,7.475,5.755,3.42,2.321,1.249,0.827,0.531,0.297,5.697,1.437,4.775,1.679,3.167,1.747,0.126,3.03,0.0,0.0,0.0,0.051,1.283
Nc1ncnc2N(C3COC(CO)C(OP(=O)(O)OP(=O)(O)OP(=O)(O)O)C(O)3)cnc12,23.897,14.729,0.433,15.856,10.517,10.284,6.664,5.184,3.717,2.609,1.796,1.219,5.25,0.854,6.122,0.0,0.0,0.096,0.124,0.872,18.31,12.907,10.729,8.011,6.18,3.7,2.542,1.406,0.942,0.613,0.353,5.587,1.822,5.128,2.506,4.104,1.813,0.126,3.256,0.0,0.0,0.029,0.047,1.443
Nc1ccN(C3COC(CO)C(OP(=O)(O)OP(=O)(O)OP(=O)(O)O)C(O)3)c(=O)n1,22.905,13.64,0.44,14.939,9.153,8.922,5.495,4.079,2.689,1.757,1.164,0.792,5.267,0.854,5.57,0.0,0.0,0.0,0.124,0.304,17.324,12.235,10.188,7.475,5.745,3.413,2.325,1.246,0.821,0.53,0.297,5.581,1.405,4.75,1.678,3.177,1.758,0.126,3.034,0.0,0.0,0.0,0.049,1.277
CC1=CN(C(=O)NC1=O)C1CC2(O(P(O)(O)(=O)))CC3CC3(O)C2O1,17.491,11.04,0.409,12.53,9.346,8.384,6.796,5.516,4.125,2.848,1.873,1.188,4.119,0.573,5.87,0.204,0.0,0.142,0.056,1.75,13.602,9.033,8.06,5.729,4.86,3.657,2.716,1.832,1.087,0.584,0.313,3.889,2.007,4.47,3.616,3.524,1.8,0.156,2.731,0.204,0.0,0.107,0.016,0.93
CC1=CN(C(=O)NC1=O)C3OC(COP(=O)(O)OP(=O)(O)OP(=O)(O)O)C(O)C(F)3,23.069,13.512,0.436,15.226,9.621,8.486,5.236,4.032,2.46,1.643,1.09,0.66,5.506,0.854,6.487,0.0,0.0,0.079,0.056,0.981,17.354,12.113,10.285,7.334,5.341,3.056,2.067,1.059,0.683,0.451,0.283,5.714,1.399,4.941,2.287,3.145,1.833,0.126,3.017,0.0,0.0,0.045,0.016,1.183
Nc1ncnc2N(C3OC(C4)(COP(=O)(O)OP(=O)(O)OP(=O)(O)O)C(O)C(O4)3)cnc12,23.527,14.721,0.421,16.441,11.453,10.959,7.361,6.157,4.383,3.294,2.389,1.629,5.667,0.956,7.349,0.0,0.0,0.248,0.068,1.682,18.194,12.929,11.161,8.339,6.365,3.88,2.698,1.552,1.039,0.723,0.449,5.333,1.792,5.28,3.114,4.593,2.074,0.185,3.648,0.0,0.0,0.116,0.014,1.575
CC1=CN(C(=O)NC1=O)C3OC(C4)(COP(=O)(O)OP(=O)(O)OP(=O)(O)O)C(O)C(O4)3,23.405,14.043,0.426,16.031,10.681,9.757,6.559,5.265,3.477,2.45,1.761,1.097,5.867,0.956,7.486,0.0,0.0,0.151,0.056,1.619,18.014,12.642,11.057,8.097,6.084,3.756,2.571,1.459,0.958,0.671,0.409,5.391,1.4,4.975,2.584,3.672,2.144,0.185,3.655,0.0,0.0,0.087,0.016,1.511
Nc1nc2N(C3OC(C4)(COP(=O)(O)OP(=O)(O)OP(=O)(O)O)C(O)C(O4)3)cnc2c(=O)[nH]1,24.397,15.115,0.42,17.087,11.704,11.361,7.621,6.497,4.487,3.411,2.516,1.684,5.956,0.956,7.634,0.0,0.0,0.248,0.056,1.678,18.578,13.117,11.353,8.402,6.439,3.94,2.744,1.57,1.057,0.735,0.456,5.819,1.998,5.734,3.302,4.923,2.125,0.185,3.678,0.0,0.0,0.116,0.014,1.553
O=c1ccN(C3OC(C4)(COP(=O)(O)OP(=O)(O)OP(=O)(O)O)C(O)C(O4)3)c(=O)N1,22.535,13.632,0.426,15.524,10.089,9.597,6.166,5.165,3.279,2.376,1.701,1.039,5.684,0.956,6.798,0.0,0.0,0.151,0.068,1.114,17.092,12.226,10.595,7.803,5.937,3.615,2.496,1.385,0.917,0.639,0.387,5.444,1.406,4.928,2.287,3.66,2.008,0.185,3.422,0.0,0.0,0.087,0.019,1.415
Nc1ccN(C3OC(C4)(COP(=O)(O)OP(=O)(O)OP(=O)(O)O)C(O)C(O4)3)c(=O)n1,22.535,13.632,0.426,15.524,10.089,9.597,6.166,5.165,3.279,2.376,1.701,1.039,5.684,0.956,6.798,0.0,0.0,0.151,0.068,1.114,17.208,12.257,10.62,7.803,5.929,3.609,2.496,1.38,0.916,0.637,0.385,5.327,1.375,4.903,2.286,3.669,2.019,0.185,3.427,0.0,0.0,0.087,0.017,1.409
Nc1ccN(C3OC(COP(=O)(O)OP(=O)(O)OP(=O)(O)O)(CO)C(O)C3)c(=O)n1,22.958,13.581,0.438,15.119,9.444,8.714,5.048,4.299,2.394,1.636,1.123,0.657,5.616,0.956,6.492,0.0,0.0,0.083,0.068,0.876,17.377,12.199,10.374,7.503,5.508,3.216,2.199,1.111,0.709,0.483,0.278,5.581,1.382,4.745,1.941,3.206,1.97,0.185,3.307,0.0,0.0,0.048,0.017,1.337
O=c1ccN(C3OC(COP(=O)(O)OP(=O)(O)OP(=O)(O)O)(CO)C(O)C3)c(=O)N1,22.958,13.581,0.438,15.119,9.444,8.714,5.048,4.299,2.394,1.636,1.123,0.657,5.616,0.956,6.492,0.0,0.0,0.083,0.068,0.876,17.26,12.167,10.349,7.503,5.517,3.221,2.198,1.117,0.71,0.483,0.28,5.697,1.413,4.77,1.941,3.197,1.96,0.185,3.302,0.0,0.0,0.048,0.019,1.343
Nc1ccN(C3OC(COP(=O)(O)OP(=O)(O)OP(=O)(O)O)C(O)C(OCOCCN)3)c(=O)n1,25.734,15.64,0.447,16.373,10.14,9.418,5.774,4.787,3.065,2.284,1.609,1.022,5.267,0.854,5.637,0.0,0.0,0.079,0.068,0.371,19.685,13.52,10.851,7.665,5.649,3.247,2.252,1.197,0.808,0.539,0.342,6.049,2.119,5.522,2.476,3.769,1.713,0.126,2.86,0.0,0.0,0.045,0.017,1.147
O=c1ccN(C3OC(COP(=O)(O)OP(=O)(O)OP(=O)(O)O)C(O)C(OCOCCN)3)c(=O)N1,25.734,15.64,0.447,16.373,10.14,9.418,5.774,4.787,3.065,2.284,1.609,1.022,5.267,0.854,5.637,0.0,0.0,0.079,0.068,0.371,19.569,13.489,10.826,7.665,5.657,3.253,2.252,1.2,0.809,0.541,0.344,6.165,2.151,5.547,2.476,3.761,1.702,0.126,2.855,0.0,0.0,0.045,0.019,1.153
O=c1ccN(C3OC(COP(=O)(O)OP(=O)(O)OP(=O)(O)O)C(O)C(OCCN)3)c(=O)N1,24.32,14.64,0.444,15.666,9.64,9.051,5.564,4.666,2.847,2.065,1.421,0.883,5.267,0.854,5.637,0.0,0.0,0.079,0.068,0.371,18.453,12.911,10.504,7.487,5.593,3.262,2.254,1.184,0.79,0.53,0.337,5.866,1.728,5.162,2.154,3.459,1.702,0.126,2.855,0.0,0.0,0.045,0.019,1.153
N1C=C(F)C(=O)NC1=O,6.853,4.198,0.466,3.873,2.86,1.817,1.332,0.553,0.186,0.0,0.0,0.0,0.76,0.0,1.478,0.0,0.0,0.0,0.068,0.718,4.272,2.175,1.42,0.774,0.393,0.213,0.058,0.014,0.0,0.0,0.0,2.582,2.024,2.453,2.086,1.423,0.157,0.0,0.206,0.0,0.0,0.0,0.018,0.049
Nc1nc2N(C3OC(COP(=O)(O)OP(=O)(O)OP(=O)(O)O)C(O(P(=O)(O)OP(=O)(O)OP(=O)(O)O))C(O)3)cnc2c(=O)[nH]1,33.681,19.683,0.428,23.533,13.106,13.786,7.936,6.676,4.612,3.572,2.467,1.817,9.514,1.707,8.733,0.0,0.0,0.175,0.056,0.781,25.803,19.388,16.671,12.163,9.525,5.379,3.894,2.219,1.59,1.146,0.785,7.878,0.296,6.862,0.943,4.261,3.021,0.253,4.913,0.0,0.0,0.074,0.014,1.892
Nc1ncnc2N(C3OC(COP(=O)(O)OP(=O)(O)OP(=O)(O)O)C(O(P(=O)(O)OP(=O)(O)OP(=O)(O)O))C(O)3)cnc12,32.811,19.29,0.429,22.888,12.854,13.384,7.675,6.34,4.483,3.489,2.352,1.749,9.225,1.707,8.448,0.0,0.0,0.175,0.068,0.777,25.419,19.2,16.479,12.099,9.452,5.319,3.847,2.199,1.576,1.134,0.776,7.392,0.09,6.409,0.755,3.932,2.97,0.253,4.884,0.0,0.0,0.074,0.014,1.914
Nc1ccN(C3OC(COP(=O)(O)OP(=O)(O)OP(=O)(O)O)C(N)C(O)3)c(=O)n1,22.198,13.102,0.437,14.719,9.029,8.327,4.849,3.892,2.313,1.571,1.068,0.629,5.323,0.854,5.799,0.0,0.0,0.079,0.068,0.476,16.747,11.844,9.982,7.176,5.261,2.976,2.049,1.028,0.677,0.448,0.279,5.451,1.258,4.737,1.853,3.065,1.746,0.126,2.902,0.0,0.0,0.045,0.017,1.156
Nc1ccN(C(CO)OC(COP(=O)(O)OP(=O)(O)OP(=O)(O)O)(CO))c(=O)n1,22.458,13.178,0.454,14.019,8.037,7.427,4.122,3.062,1.584,0.976,0.615,0.323,5.006,0.854,4.688,0.0,0.0,0.0,0.068,0.318,16.877,11.701,9.427,6.513,4.729,2.545,1.613,0.71,0.408,0.251,0.126,5.581,1.476,4.592,1.523,2.698,1.584,0.126,2.457,0.0,0.0,0.0,0.017,0.873
CC1=CN(C(=O)NC1=O)C1OC2(COP(=O)(O)OP(=O)(O)OP(=O)(O)O)CN(C(=O)CC34CC5CC(CC(C5)C3)C4)C1C2O,32.035,20.283,0.414,22.873,16.373,15.911,12.106,10.069,7.375,5.638,4.038,2.716,7.533,1.081,10.479,0.0,0.0,0.136,0.3,2.946,26.143,18.562,17.388,13.41,11.611,8.405,6.43,4.392,3.096,2.051,1.21,5.891,1.721,5.485,2.963,4.299,3.627,0.31,6.3,0.0,0.0,0.092,0.261,2.673
CC1=CN(C(=O)NC1=O)C3OC(COP(=O)(O)OP(=O)(O)OP(=O)(O)O)(CO)C(O)C3,23.828,13.991,0.437,15.627,10.036,8.869,5.467,4.359,2.588,1.721,1.147,0.692,5.799,0.956,7.18,0.0,0.0,0.083,0.056,1.382,18.183,12.584,10.81,7.797,5.663,3.374,2.262,1.187,0.751,0.503,0.296,5.645,1.407,4.817,2.238,3.206,2.096,0.185,3.535,0.0,0.0,0.048,0.016,1.439
Nc1ncnc2N(C34OC(COP(=O)(O)OP(=O)(O)OP(=O)(O)O)C(O)C(OC4)3)cnc12,23.527,14.731,0.421,16.403,11.382,10.911,7.286,6.098,4.253,3.179,2.176,1.475,5.602,0.937,6.994,0.0,0.144,0.164,0.068,1.392,18.194,12.95,11.076,8.351,6.3,3.76,2.624,1.452,0.974,0.652,0.429,5.333,1.782,5.327,3.031,4.61,1.979,0.164,3.488,0.0,0.083,0.068,0.014,1.509
Nc1nc2N(C34OC(COP(=O)(O)OP(=O)(O)OP(=O)(O)O)C(O)C(OC4)3)cnc2c(=O)[nH]1,24.397,15.125,0.42,17.048,11.633,11.315,7.53,6.463,4.375,3.285,2.313,1.528,5.891,0.937,7.279,0.0,0.144,0.164,0.056,1.388,18.578,13.137,11.268,8.414,6.374,3.817,2.676,1.471,0.992,0.666,0.436,5.819,1.988,5.78,3.219,4.941,2.03,0.164,3.518,0.0,0.083,0.068,0.014,1.488
Nc1ccN(C3OC(COP(=O)(O)OP(=O)(O)OP(=O)(O)O)C(O)C(OCOCCCN)3)c(=O)n1,26.441,16.14,0.448,16.726,10.39,9.595,5.899,4.882,3.103,2.318,1.694,1.071,5.267,0.854,5.637,0.0,0.0,0.079,0.068,0.371,20.392,14.02,11.204,7.896,5.751,3.313,2.28,1.216,0.829,0.557,0.356,6.049,2.119,5.522,2.495,3.844,1.713,0.126,2.86,0.0,0.0,0.045,0.017,1.147
O=c1ccN(C3OC(COP(=O)(O)OP(=O)(O)OP(=O)(O)O)C(O)C(OCOCCCN)3)c(=O)N1,26.441,16.14,0.448,16.726,10.39,9.595,5.899,4.882,3.103,2.318,1.694,1.071,5.267,0.854,5.637,0.0,0.0,0.079,0.068,0.371,20.276,13.989,11.179,7.895,5.759,3.319,2.28,1.219,0.83,0.559,0.358,6.165,2.151,5.547,2.495,3.836,1.702,0.126,2.855,0.0,0.0,0.045,0.019,1.153
O=c1ccN(C3COC(COP(=O)(O)OP(=O)(O)OP(=O)(O)O)C(O)C(O)3)c(=O)N1,22.905,13.602,0.439,15.06,9.325,8.546,5.029,3.894,2.479,1.596,1.122,0.756,5.323,0.854,5.838,0.0,0.0,0.0,0.124,0.515,17.208,12.198,10.244,7.435,5.448,3.141,2.108,1.101,0.713,0.486,0.311,5.697,1.404,4.816,1.89,3.098,1.755,0.126,2.981,0.0,0.0,0.0,0.051,1.227
Nc1ncnc2N(C3COC(COP(=O)(O)OP(=O)(O)OP(=O)(O)O)C(O)C(O)3)cnc12,23.897,14.691,0.432,15.978,10.688,9.907,6.198,4.991,3.532,2.464,1.702,1.154,5.306,0.854,6.389,0.0,0.0,0.096,0.124,1.083,18.31,12.902,10.81,7.971,5.872,3.421,2.329,1.261,0.822,0.551,0.355,5.587,1.789,5.168,2.717,4.035,1.82,0.126,3.207,0.0,0.0,0.029,0.047,1.387
